@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
174,'2023/06/14 11:01:15:513',7,708,716,715,637,712,718,677,719,712,717,694,669,0.11859,0.178717,0.414055
175,'2023/06/14 11:01:15:522',7,708,716,715,637,712,718,677,719,712,717,694,669,0.11859,0.178717,0.414055
176,'2023/06/14 11:01:15:531',7,709,716,715,637,712,717,677,720,712,717,693,669,0.11859,0.178717,0.414055
177,'2023/06/14 11:01:15:541',7,708,716,715,635,712,717,676,720,711,717,693,668,0.11859,0.178717,0.414055
178,'2023/06/14 11:01:15:554',7,709,716,715,638,712,717,678,720,712,717,694,670,0.11859,0.178717,0.414055
179,'2023/06/14 11:01:15:562',7,708,716,715,634,712,718,676,719,711,717,694,668,0.11859,0.178717,0.414055
180,'2023/06/14 11:01:15:574',7,708,716,715,638,712,717,678,720,712,717,694,669,0.11859,0.178717,0.414055
181,'2023/06/14 11:01:15:581',7,708,716,715,638,712,717,678,720,712,717,694,669,0.11859,0.178717,0.414055
182,'2023/06/14 11:01:15:591',7,708,715,715,635,712,717,677,720,711,716,693,668,0.11859,0.178717,0.414055
183,'2023/06/14 11:01:15:601',7,708,716,715,636,712,718,676,720,712,716,694,668,0.11859,0.178717,0.414055
184,'2023/06/14 11:01:15:612',7,709,716,715,638,712,718,678,720,712,717,694,670,0.11859,0.178717,0.414055
185,'2023/06/14 11:01:15:623',7,708,716,715,634,712,718,676,719,711,717,694,667,0.11859,0.178717,0.414055
186,'2023/06/14 11:01:15:632',7,708,716,715,634,712,718,676,719,711,717,694,667,0.11859,0.178717,0.414055
187,'2023/06/14 11:01:15:641',7,709,716,715,635,712,718,676,720,712,717,693,669,0.11859,0.178717,0.414055
188,'2023/06/14 11:01:15:651',7,709,716,715,635,712,718,676,720,712,717,693,669,0.11859,0.178717,0.414055
189,'2023/06/14 11:01:15:662',7,709,716,715,637,712,718,677,720,712,717,693,669,0.11859,0.178717,0.414055
190,'2023/06/14 11:01:15:671',7,709,716,715,637,712,717,678,720,712,717,693,669,0.11859,0.178717,0.414055
191,'2023/06/14 11:01:15:682',7,710,716,715,634,712,718,676,720,711,717,693,668,0.11859,0.178717,0.414055
192,'2023/06/14 11:01:15:692',7,709,716,715,638,713,717,678,720,712,717,693,670,0.11859,0.178717,0.414055
193,'2023/06/14 11:01:15:701',7,709,716,715,638,713,717,678,720,712,717,693,670,0.11859,0.178717,0.414055
194,'2023/06/14 11:01:15:712',7,709,716,715,634,712,718,677,720,711,717,694,668,0.11859,0.178717,0.414055
195,'2023/06/14 11:01:15:723',7,709,716,715,636,712,717,677,720,712,717,693,669,0.11859,0.178717,0.414055
